1,-0.006952,0.06853,0.05208,0.1005
2,100,0.0000,-1.0000,0.0000
3,-1.0000,0.0000,100,0.0000
4,-0.9880,0.0006,1.4584,0.1534
5,-0.9879,0.0000,1.5189,0.0067
6,-0.4052,0.0000,-0.1477,0.0000
7,-0.06452,0.0000,-0.5215,0.0000
8,0.06556,0.0000,-0.7109,0.0000
9,0.2350,0.0000,-0.8510,0.0000
10,0.9249,0.0000,-0.9156,0.0000
11,1.1624,0.0000,-0.9853,0.0000
12,100,0.0000,-1.0000,0.0000
13,-0.8612,0.008425,-0.5606,0.03219
14,-0.89346,0.0022,-0.6626,0.0106
15,-0.6849,0.01479,-0.3515,0.03451
16,-0.7628,0.007956,-0.4968,0.01641
17,-0.6063,0.01383,-0.4052,0.02710
18,-0.5179,0.01855,-0.3151,0.02244
19,-0.4059,0.02020,-0.2246,0.01952
20,-0.1997,0.03106,-0.1280,0.03063
21,-0.1074,0.03961,-0.06166,0.03020
22,0.02247,0.06603,0.01541,0.05499
23,-0.01097,0.03984,0.01046,0.05112
24,-0.001787,0.04347,-0.01555,0.04019
25,-0.7504,0.004186,-0.06260,0.06322
26,-0.5530,0.04513,-0.002305,0.09785
27,-0.3520,0.03464,0.06042,0.06586
28,-0.1939,0.06167,0.07274,0.1238
29,0.06378,0.04519,0.1084,0.05844
30,-0.01496,0.08893,0.006464,0.04166
31,-0.9878,0.0001516,1.514,0.01222
32,-0.9618,0.003047,-0.4147,0.03203
33,-0.9652,0.002863,-0.3828,0.1171
34,-0.9375,0.004620,-0.5683,0.0193
35,-0.8632,0.008181,-0.6471,0.03722
36,-0.7530,0.01572,-0.4751,0.04671
37,-0.7918,0.01596,-0.5130,0.03323
38,-0.6881,0.03277,-0.3595,0.06002
39,-0.5264,0.04687,-0.2138,0.09471
40,-0.9479,0.01509,-0.3991,0.5065
41,-0.9493,0.003869,-0.6027,0.03475
42,-0.9023,0.03411,-0.7139,0.03929
43,-0.8878,0.006687,-0.6821,0.02189
44,-0.8714,0.05584,-0.6533,0.09257
45,-0.8920,0.005128,-0.6786,0.02189
46,-0.5079,0.02371,-0.2290,0.03059
47,-0.2027,0.07641,-0.05611,0.06949
48,-0.3275,0.04932,-0.8215,0.01121
49,-0.2443,0.03283,-0.6647,0.01294
50,-0.3813,0.04908,-0.8254,0.005460
51,-0.3339,0.03884,-0.6743,0.01657
52,-0.2545,0.04181,-0.5863,0.01652
53,-0.1748,0.04214,-0.4698,0.03110
54,-0.1196,0.03449,-0.3089,0.02663
55,-0.2472,0.2698,-0.7993,0.05843
